0,1,2
406 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,1.0002190239027458 km
108 ANG MO KIO AVE 4,MAYFLOWER MRT STATION,0.1899767594201738 km
602 ANG MO KIO AVE 5,LENTOR MRT STATION,0.5321547187480088 km
465 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,0.9458473209144793 km
601 ANG MO KIO AVE 5,LENTOR MRT STATION,0.49841886489901344 km
150 ANG MO KIO AVE 5,YIO CHU KANG MRT STATION,0.6368096181014679 km
447 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,0.7554392872629281 km
218 ANG MO KIO AVE 1,MAYFLOWER MRT STATION,0.9075997239228657 km
571 ANG MO KIO AVE 3,ANG MO KIO MRT STATION,0.5929910351080299 km
534 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,0.6868887359198086 km
233 ANG MO KIO AVE 3,MAYFLOWER MRT STATION,0.43321054757406857 km
235 ANG MO KIO AVE 3,MAYFLOWER MRT STATION,0.5130918181695387 km
219 ANG MO KIO AVE 1,MAYFLOWER MRT STATION,0.7577167895163517 km
536 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,0.7128432650929937 km
230 ANG MO KIO AVE 3,MAYFLOWER MRT STATION,0.32414692389205746 km
570 ANG MO KIO AVE 3,ANG MO KIO MRT STATION,0.7202975275522852 km
624 ANG MO KIO AVE 4,YIO CHU KANG MRT STATION,0.5503606707918328 km
441 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,0.6694021986844991 km
625 ANG MO KIO AVE 9,YIO CHU KANG MRT STATION,0.4182387732564363 km
119 ANG MO KIO AVE 3,ANG MO KIO MRT STATION,0.5418016796226266 km
255 ANG MO KIO AVE 4,MAYFLOWER MRT STATION,0.23341982839392736 km
432 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,0.48480904299980565 km
211 ANG MO KIO AVE 3,MAYFLOWER MRT STATION,0.6203068366257164 km
584 ANG MO KIO AVE 3,ANG MO KIO MRT STATION,0.4469425503991866 km
118 ANG MO KIO AVE 4,MAYFLOWER MRT STATION,0.23630546477230457 km
333 ANG MO KIO AVE 1,ANG MO KIO MRT STATION,0.9794454246192961 km
256 ANG MO KIO AVE 4,MAYFLOWER MRT STATION,0.11512063133454459 km
330 ANG MO KIO AVE 1,ANG MO KIO MRT STATION,0.8455907802366511 km
557 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,0.9296574531073767 km
302 ANG MO KIO AVE 3,ANG MO KIO MRT STATION,0.5353300471299971 km
575 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,0.7301798169318557 km
509 ANG MO KIO AVE 8,ANG MO KIO MRT STATION,0.4544925435347323 km
472 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,1.21332484295355 km
475 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,1.1165240165237447 km
629 ANG MO KIO AVE 4,YIO CHU KANG MRT STATION,0.5367296410037585 km
546 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,0.9272968112120265 km
131 ANG MO KIO AVE 3,MAYFLOWER MRT STATION,0.5844178153285009 km
254 ANG MO KIO AVE 4,MAYFLOWER MRT STATION,0.25135752128198346 km
470 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,1.0242997308584538 km
463 ANG MO KIO AVE 10,ANG MO KIO MRT STATION,0.942659164452067 km
207 ANG MO KIO AVE 1,ANG MO KIO MRT STATION,0.8738878791526339 km
304 ANG MO KIO AVE 1,ANG MO KIO MRT STATION,0.6480648377036505 km
646 ANG MO KIO AVE 6,YIO CHU KANG MRT STATION,0.292236417063106 km
328 ANG MO KIO AVE 3,ANG MO KIO MRT STATION,0.41184186340601164 km
588C ANG MO KIO ST 52,ANG MO KIO MRT STATION,0.5040184837366554 km
588D ANG MO KIO ST 52,ANG MO KIO MRT STATION,0.5222273654392275 km
101 ANG MO KIO AVE 3,MAYFLOWER MRT STATION,0.34902511402188946 km
430 ANG MO KIO AVE 3,ANG MO KIO MRT STATION,0.37182762930084273 km
520 ANG MO KIO AVE 5,ANG MO KIO MRT STATION,0.4223236100425987 km
716 ANG MO KIO AVE 6,ANG MO KIO MRT STATION,0.444216491065687 km
588A ANG MO KIO ST 52,ANG MO KIO MRT STATION,0.43082588801464555 km
