0,1,2
SERANGOON NORTH AVENUE 1,SERANGOON GARDEN SECONDARY SCHOOL,0.3018946803575362 km
BELGRAVIA DRIVE,SERANGOON GARDEN SECONDARY SCHOOL,1.1656583537863585 km
CLUNY PARK ROAD,ST. MARGARET'S SECONDARY SCHOOL,0.6081919197687387 km
EAST COAST AVENUE,VICTORIA SCHOOL,0.49457027081562654 km
CHANCERY HILL ROAD,ANGLO-CHINESE SCHOOL (BARKER ROAD),0.4892218648744192 km
DYSON ROAD,CHIJ SECONDARY (TOA PAYOH),0.6113860889408996 km
TAN SIM BOH ROAD,CHIJ SECONDARY (TOA PAYOH),0.6460338534543573 km
BEDOK SOUTH AVENUE 3,TEMASEK SECONDARY SCHOOL,0.46207632415397576 km
WHAMPOA EAST,BENDEMEER SECONDARY SCHOOL,0.4670554522791325 km
BALMORAL ROAD,RAFFLES GIRLS' SCHOOL (SECONDARY),0.1501999916473708 km
LIM AH PIN ROAD,YUYING SECONDARY SCHOOL,0.7203353345469 km
LORONG K TELOK KURAU,ST. PATRICK'S SCHOOL,1.067125720277314 km
UPPER SERANGOON VIEW,SERANGOON SECONDARY SCHOOL,0.44084460127789105 km
ENG KONG ROAD,YUSOF ISHAK SECONDARY SCHOOL,1.0169611641129344 km
ENG KONG TERRACE,YUSOF ISHAK SECONDARY SCHOOL,1.1406351354060202 km
LORONG KISMIS,YUSOF ISHAK SECONDARY SCHOOL,1.2735513470794362 km
UPPER TOH TUCK TERRACE,YUSOF ISHAK SECONDARY SCHOOL,1.054776984439005 km
FLOWER ROAD,CHIJ ST. THERESA'S CONVENT,2.4936191443062636 km
GROVE DRIVE,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",0.9786422756816968 km
GLASGOW ROAD,PEICAI SECONDARY SCHOOL,0.8159895847275648 km
CLUNY HILL,ST. MARGARET'S SECONDARY SCHOOL,0.6193554863070823 km
SUNSHINE TERRACE,ST. GABRIEL'S SECONDARY SCHOOL,0.34449675428602056 km
VANDA AVENUE,NANYANG GIRLS' HIGH SCHOOL,0.412418903057332 km
CORONATION DRIVE,HWA CHONG INSTITUTION,0.5095745285669409 km
JALAN MELOR,BARTLEY SECONDARY SCHOOL,0.8905838011777557 km
