0,1,2
 1 SUITES,GEYLANG METHODIST SCHOOL (SECONDARY),0.6800040538513157 km
8 SAINT THOMAS,OUTRAM SECONDARY SCHOOL,1.0996557492164776 km
M5,GAN ENG SENG SCHOOL,0.9198334380877496 km
15 HOLLAND HILL,QUEENSWAY SECONDARY SCHOOL,0.9552175997331008 km
BOULEVARD 88,NORTHLIGHT SCHOOL,0.5965316382249201 km
BUKIT 828,FAJAR SECONDARY SCHOOL,0.23301193029204792 km
CAIRNHILL NINE,NORTHLIGHT SCHOOL,1.1523687456157912 km
CARPMAEL THIRTY-EIGHT,TANJONG KATONG SECONDARY SCHOOL,0.5729257054865057 km
CITY GATE,"SCHOOL OF THE ARTS, SINGAPORE",1.5727440334896157 km
CLAVON,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,0.26625378532544824 km
COASTLINE RESIDENCES,TANJONG KATONG SECONDARY SCHOOL,1.001341785876639 km
COCO PALMS,MERIDIAN SECONDARY SCHOOL,0.5016903271008852 km
COMMONWEALTH TOWERS,QUEENSWAY SECONDARY SCHOOL,0.7937046563212858 km
CORALS AT KEPPEL BAY,CHIJ ST. THERESA'S CONVENT,1.502559327676798 km
CUSCADEN RESERVE,NORTHLIGHT SCHOOL,0.8533477556073767 km
D'NEST,MERIDIAN SECONDARY SCHOOL,0.486632670042963 km
DAINTREE RESIDENCE,YUSOF ISHAK SECONDARY SCHOOL,1.1646391912830376 km
DALVEY HAUS,SINGAPORE CHINESE GIRLS' SCHOOL,0.5262815859066364 km
DEVONSHIRE 12,"SCHOOL OF THE ARTS, SINGAPORE",1.1757747388406767 km
DUNEARN 386,ST. MARGARET'S SECONDARY SCHOOL,0.5618283257149743 km
DUO RESIDENCES,"SCHOOL OF THE ARTS, SINGAPORE",1.041962519733236 km
E MAISON,ZHONGHUA SECONDARY SCHOOL,0.6883653959830843 km
ECHELON,CRESCENT GIRLS' SCHOOL,0.4114447499886498 km
EON SHENTON,OUTRAM SECONDARY SCHOOL,1.6692620128157671 km
FIVENINE,ST. PATRICK'S SCHOOL,0.8992096164480328 km
FORETT@BUKIT TIMAH,YUSOF ISHAK SECONDARY SCHOOL,0.8994380115165431 km
FOREST WOODS,ST. GABRIEL'S SECONDARY SCHOOL,0.4543261480314059 km
FORTE SUITES,BENDEMEER SECONDARY SCHOOL,1.2919084167002641 km
