0,1,2
 1 SUITES,301 GEYLANG ROAD,0.32063868575408994 km
8 SAINT THOMAS,131 KILLINEY ROAD,0.27908779410940354 km
M5,491 RIVER VALLEY ROAD,0.3458788463927324 km
15 HOLLAND HILL,211 HOLLAND AVENUE,0.6179787505120382 km
BOULEVARD 88,442 ORCHARD ROAD,0.30340828843673284 km
BUKIT 828,1 JELEBU ROAD,0.6830323624675451 km
CAIRNHILL NINE,290 ORCHARD ROAD,0.2466833440091979 km
CARPMAEL THIRTY-EIGHT,2 JOO CHIAT ROAD,0.2930253619148313 km
CITY GATE,803 KING GEORGE'S AVENUE,0.6540010603267283 km
CLAVON,420A CLEMENTI AVENUE 1,0.21916560726654605 km
COASTLINE RESIDENCES,30 EAST COAST ROAD,0.6860364989770309 km
COCO PALMS,527D PASIR RIS STREET 51,0.30995001056070975 km
COMMONWEALTH TOWERS,85 DAWSON ROAD,0.3612473601545107 km
CORALS AT KEPPEL BAY,1 MARITIME SQUARE,0.4362550665542507 km
CUSCADEN RESERVE,163 TANGLIN ROAD,0.19826564691154241 km
D'NEST,527D PASIR RIS STREET 51,0.3540649751856494 km
DAINTREE RESIDENCE,144 UPPER BUKIT TIMAH ROAD,0.7496960363675184 km
DALVEY HAUS,383 BUKIT TIMAH ROAD,0.4252273986231823 km
DEVONSHIRE 12,131 KILLINEY ROAD,0.10419717664034313 km
DUNEARN 386,587 BUKIT TIMAH ROAD,0.21486470304773833 km
DUO RESIDENCES,230 VICTORIA STREET,0.22724523366227464 km
E MAISON,23 SERANGOON CENTRAL,0.8382175920798144 km
ECHELON,86 REDHILL CLOSE,0.453585366554495 km
EON SHENTON,16 ENGGOR STREET,0.23179995769740994 km
FIVENINE,291 JOO CHIAT ROAD,0.8866227320001162 km
FORETT@BUKIT TIMAH,144 UPPER BUKIT TIMAH ROAD,0.8668675326554883 km
FOREST WOODS,159A HOUGANG STREET 11,0.3733845707434557 km
FORTE SUITES,43 CAMBRIDGE ROAD,0.3944334538009537 km
FORESTVILLE,548 WOODLANDS DRIVE 44,0.5400660970017161 km
