,licensee_name,address
0,COLD STORAGE SINGAPORE (1983) PTE LTD,982 BUANGKOK CRESCENT
1,COLD STORAGE SINGAPORE (1983) PTE LTD,21 HOUGANG STREET 51
2,U STARS SUPERMARKET PTE. LTD.,330 ANCHORVALE STREET
3,NTUC Fairprice Co-operative Ltd,1 HOUGANG STREET 91
4,SHENG SIONG SUPERMARKET PTE LTD,19 SERANGOON NORTH AVENUE 5
5,NTUC Fairprice Co-operative Ltd,33 SENGKANG WEST AVENUE
6,PRIME SUPERMARKET (1996) PTE LTD,542B SERANGOON NORTH AVENUE 3
7,SHENG SIONG SUPERMARKET PTE LTD,473 FERNVALE STREET
11,COLD STORAGE SINGAPORE (1983) PTE LTD,683 HOUGANG AVENUE 8
12,NTUC Fairprice Co-operative Ltd,682 HOUGANG AVENUE 4
13,NTUC Fairprice Co-operative Ltd,447A JALAN KAYU
16,NTUC Fairprice Co-operative Ltd,53 ANG MO KIO AVENUE 3
17,NTUC Fairprice Co-operative Ltd,2 ANG MO KIO DRIVE
18,COLD STORAGE SINGAPORE (1983) PTE LTD,1 SELETAR ROAD
19,NTUC Fairprice Co-operative Ltd,712 ANG MO KIO AVENUE 6
20,COLD STORAGE SINGAPORE (1983) PTE LTD,525 ANG MO KIO AVENUE 10
21,NTUC Fairprice Co-operative Ltd,215 ANG MO KIO AVENUE 1
22,SHENG SIONG SUPERMARKET PTE LTD,122 ANG MO KIO AVENUE 3
23,COLD STORAGE SINGAPORE (1983) PTE LTD,316B ANG MO KIO STREET 31
24,SHENG SIONG SUPERMARKET PTE LTD,233 ANG MO KIO AVENUE 3
26,NTUC Fairprice Co-operative Ltd,510 BISHAN STREET 13
27,NTUC Fairprice Co-operative Ltd,9 BISHAN PLACE
28,COLD STORAGE SINGAPORE (1983) PTE LTD,512 BISHAN STREET 13
29,NTUC Fairprice Co-operative Ltd,279 BISHAN STREET 24
31,NTUC Fairprice Co-operative Ltd,301 UPPER THOMSON ROAD
32,SHENG SIONG SUPERMARKET PTE LTD,200 UPPER THOMSON ROAD
33,COLD STORAGE SINGAPORE (1983) PTE LTD,181 LORONG 4 TOA PAYOH
